task,tester_message_count,NPC_message_count,NPC_count,total_messages,task_category
admin-arrange-meeting-rooms-image,1.0,0.0,1.0,1.0,admin
admin-ask-for-meeting-feedback-image,6.0,5.0,5.0,11.0,admin
admin-check-employees-budget-and-reply-2-image,7.0,4.0,4.0,11.0,admin
admin-collect-reguests-and-compute-total-price-image,4.0,4.0,4.0,8.0,admin
admin-emplovee-info-reconciliation-image,1.0,0.0,1.0,1.0,admin
admin-get-best-vendor-quote-image,1.0,1.0,2.0,2.0,admin
admin-read-survey-and-summanise-image,1.0,1.0,1.0,2.0,admin
ds-answer-spreadsheet-questions-image,1.0,0.0,1.0,1.0,ds
ds-merge-multiple-sheets-image,1.0,0.0,1.0,1.0,ds
ds-organise-report-sus-data-image,1.0,0.0,1.0,1.0,ds
finance-apply-tax-credit-image,1.0,0.0,1.0,1.0,finance
finance-find-signatories-image,1.0,1.0,1.0,2.0,finance
finance-r-d-activities-image,3.0,0.0,3.0,3.0,finance
finance-substantial-presence-test-image,1.0,0.0,1.0,1.0,finance
hr-check-attendance-multiple-days-department-with-chat-image,3.0,3.0,3.0,6.0,hr
hr-check-for-invalid-passwords-and-ask-for-valid-passwords-image,3.0,3.0,2.0,6.0,hr
hr-collect-feedbacks-image,4.0,3.0,4.0,7.0,hr
hr-collect-multiple-valid-passwords-image,8.0,8.0,5.0,16.0,hr
hr-create-career-ladder-image,1.0,0.0,1.0,1.0,hr
hr-get-valid-password-image,5.0,4.0,1.0,9.0,hr
hr-green-card-consultation-image,2.0,2.0,1.0,4.0,hr
hr-make-slides-introduce-leadership-image,1.0,0.0,1.0,1.0,hr
hr-massive-resume-screening-image,1.0,0.0,1.0,1.0,hr
hr-new-grad-job-description-2-image,1.0,1.0,1.0,2.0,hr
hr-new-grad-job-description-3-image,2.0,2.0,2.0,4.0,hr
hr-pick-interviewer-1-image,2.0,1.0,2.0,3.0,hr
hr-pick-interviewer-2-image,4.0,4.0,4.0,8.0,hr
hr-pick-interiewer-3-image,1.0,0.0,1.0,1.0,hr
hr-resume-screening-image,3.0,1.0,2.0,4.0,hr
pm-ask-for-issue-and-create-in-gitlab-image,2.0,2.0,2.0,4.0,pm
pm-ask-issue-assignee-for-issue-status-and-update-in-plane-image,1.0,0.0,1.0,1.0,pm
pm-check-backlog-update-issues-image,2.0,0.0,1.0,2.0,pm
pm-create-channel-message-image,1.0,0.0,1.0,1.0,pm
pm-create-channel-message-medium-image,2.0,0.0,2.0,2.0,pm
pm-distribute-information-image,2.0,0.0,2.0,2.0,pm
pm-monitor-new-bug-issues-image,1.0,0.0,1.0,1.0,pm
pm-monthly-attendance-slides-image,1.0,0.0,1.0,1.0,pm
pm-plan-personnel-for-new-project-image,7.0,6.0,2.0,13.0,pm
pm-prepare-meeting-with-customers-image,1.0,0.0,1.0,1.0,pm
pm-projects-analytics-image,1.0,0.0,1.0,1.0,pm
pm-schedule-meeting-1-image,2.0,2.0,2.0,4.0,pm
pm-schedule-meeting-2-image,2.0,2.0,1.0,4.0,pm
pm-send-hello-message-image,1.0,0.0,1.0,1.0,pm
pm-send-notification-to-corresponding-user-image,5.0,5.0,4.0,10.0,pm
qa-escalate-emergency-image,2.0,0.0,2.0,2.0,qa
qa-update-issue-status-according-to-colleagues-image,2.0,2.0,2.0,4.0,qa
sde-check-high-priority-issue-image,1.0,0.0,1.0,1.0,sde
sde-create-new-gitlab-project-logo-image,4.0,4.0,1.0,8.0,sde
sde-create-new-repo-image,1.0,1.0,1.0,2.0,sde
sde-debug-crashed-server-image,1.0,1.0,1.0,2.0,sde
sde-find-answer-in-codebase-3-image,1.0,0.0,1.0,1.0,sde
sde-milestone-meeting-image,1.0,0.0,1.0,1.0,sde
sde-reply-community-issue-by-asking-npc-image,1.0,0.0,1.0,1.0,sde
sde-report-agent-repos-image,1.0,0.0,1.0,1.0,sde
sde-summarize-recent-issues-image,1.0,0.0,1.0,1.0,sde
sde-troubleshoot-dev-setup-image,1.0,0.0,1.0,1.0,sde
